Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
356,Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,.492,0.8,2.2,.372,1.7,2.8,.586,.574,0.8,1.2,.674,0.7,2.7,3.5,1.1,0.5,0.4,0.8,1.8,6.6
357,Doug McDermott,PF,30,SAS,32,32,24.7,4.3,9.4,.455,2.1,5.2,.410,2.2,4.2,.511,.568,0.6,0.8,.704,0.4,2.0,2.4,1.2,0.2,0.1,0.8,1.5,11.3
358,JaVale McGee,C,34,PHO,42,14,16.3,4.3,6.5,.651,0.0,0.1,.250,4.2,6.5,.657,.653,1.5,2.2,.674,2.4,4.7,7.1,0.6,0.3,0.9,1.5,2.7,10.0
359,Cameron McGriff,SF,24,POR,3,0,15.3,1.7,4.7,.357,0.7,2.0,.333,1.0,2.7,.375,.429,0.7,0.7,1.000,2.0,3.0,5.0,1.0,0.0,0.3,0.0,2.3,4.7
360,Rodney McGruder,SG,30,DET,21,0,12.5,1.8,3.7,.474,0.9,2.1,.422,0.9,1.6,.545,.596,0.2,0.3,.667,0.6,1.4,2.0,0.7,0.3,0.1,0.6,0.9,4.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
361,Alfonzo McKinnie,SF,29,CHI,14,3,14.3,1.7,4.2,.407,0.6,1.9,.346,1.1,2.4,.455,.483,0.1,0.4,.167,0.9,1.2,2.1,0.4,0.1,0.2,0.5,1.8,4.1
362,JaQuori McLaughlin,PG,24,DAL,4,0,2.8,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
363,Jordan McLaughlin,PG,25,MIN,29,2,10.9,0.7,2.6,.284,0.1,1.0,.143,0.6,1.6,.370,.311,0.5,0.8,.682,0.2,0.8,1.0,2.3,0.6,0.0,0.7,0.4,2.1
364,Ben McLemore,SG,28,POR,29,4,17.2,3.0,7.1,.427,2.3,5.7,.412,0.7,1.4,.488,.592,0.7,0.8,.792,0.2,1.1,1.3,0.8,0.4,0.1,0.7,1.5,9.1
365,De'Anthony Melton,SG,23,MEM,40,13,22.9,3.5,9.2,.383,1.5,4.7,.317,2.0,4.5,.453,.465,1.2,1.7,.701,1.0,3.4,4.4,2.8,1.6,0.6,1.5,1.9,9.7
366,Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4.0,.333,1.2,3.8,.304,0.2,0.2,1.000,.479,0.3,0.7,.500,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2
367,Chimezie Metu,C,24,SAC,32,19,22.2,3.4,8.2,.420,1.0,3.7,.274,2.4,4.5,.538,.481,1.0,1.3,.744,0.7,5.4,6.0,1.1,0.9,0.6,0.9,1.5,8.9
368,Khris Middleton,SF,30,MIL,37,37,31.9,6.7,15.2,.442,2.4,6.2,.391,4.3,8.9,.477,.522,4.2,4.8,.886,0.6,5.1,5.7,5.3,1.1,0.3,3.2,2.4,20.1
369,C.J. Miles,SG,34,BOS,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
370,Patty Mills,PG,33,BRK,45,28,31.0,4.8,10.9,.441,3.2,7.6,.425,1.6,3.3,.477,.589,0.7,0.8,.886,0.2,1.9,2.2,2.5,0.6,0.3,1.0,1.4,13.5
371,Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,.376,0.3,1.1,.222,1.1,2.4,.448,.412,0.5,0.7,.706,1.2,2.5,3.7,1.0,0.2,0.5,0.5,2.0,3.4
372,Shake Milton,PG,25,PHI,27,6,24.7,4.0,9.4,.429,0.9,2.9,.316,3.1,6.5,.480,.478,1.5,1.8,.854,0.5,2.5,3.0,2.8,0.7,0.4,1.1,2.1,10.5
373,Davion Mitchell,PG,23,SAC,42,1,24.5,3.7,9.5,.395,1.1,3.7,.308,2.6,5.7,.452,.456,0.5,0.9,.595,0.5,1.7,2.3,3.2,0.7,0.3,1.0,1.8,9.1
374,Donovan Mitchell,SG,25,UTA,40,40,33.5,9.3,20.7,.450,3.2,9.5,.339,6.1,11.2,.545,.528,3.7,4.2,.876,0.8,3.1,4.0,5.2,1.6,0.2,3.0,2.5,25.5
375,Evan Mobley,PF,20,CLE,40,40,34.4,6.2,12.1,.510,0.4,1.4,.304,5.8,10.7,.537,.528,2.2,3.3,.674,1.8,6.4,8.2,2.7,0.8,1.7,2.0,2.0,15.0
376,Malik Monk,SG,23,LAL,42,11,26.1,4.4,9.2,.477,2.1,5.1,.405,2.3,4.1,.566,.589,1.0,1.2,.824,0.5,2.5,3.0,2.3,0.7,0.5,1.3,1.5,11.9
377,Greg Monroe,C,31,TOT,5,0,16.2,2.6,4.4,.591,0.0,0.0,0,2.6,4.4,.591,.591,0.4,1.0,.400,2.4,3.8,6.2,2.4,0.6,1.0,1.2,1.8,5.6
377,Greg Monroe,C,31,MIN,3,0,21.0,3.0,4.7,.643,0.0,0.0,0,3.0,4.7,.643,.643,0.7,1.7,.400,1.7,5.3,7.0,3.7,0.7,1.3,1.3,2.3,6.7
377,Greg Monroe,C,31,WAS,2,0,9.0,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,0.0,0.0,0,3.5,1.5,5.0,0.5,0.5,0.5,1.0,1.0,4.0
378,Moses Moody,SG,19,GSW,26,1,7.0,0.8,2.3,.339,0.2,1.3,.121,0.6,1.0,.615,.373,0.5,0.6,.800,0.2,0.9,1.0,0.3,0.1,0.2,0.2,0.5,2.2
379,Xavier Moon,SG,27,LAC,6,0,13.8,2.3,5.7,.412,0.5,1.7,.300,1.8,4.0,.458,.456,0.3,0.5,.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5
380,Matt Mooney,SG,24,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
381,Ja Morant,PG,22,MEM,36,36,32.9,9.4,19.4,.487,1.5,4.4,.350,7.9,15.0,.527,.527,4.9,6.4,.773,1.5,4.5,6.0,6.9,1.3,0.4,3.4,1.4,25.3
382,Juwan Morgan,PF,24,TOR,1,0,27.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0
383,Jaylen Morris,SG,26,SAS,3,0,5.3,0.0,2.0,.000,0.0,0.7,.000,0.0,1.3,.000,.000,0.7,1.3,.500,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.7,0.7
384,Marcus Morris,PF,32,LAC,26,26,30.3,5.5,13.2,.417,2.0,5.4,.364,3.5,7.8,.453,.491,2.6,3.0,.859,0.6,4.6,5.2,2.2,0.5,0.3,1.3,2.3,15.5
385,Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7.0,.457,0.8,2.2,.364,2.4,4.8,.500,.514,0.5,0.5,1.000,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
386,Monte Morris,PG,26,DEN,42,41,30.0,5.1,10.9,.470,1.6,4.4,.373,3.5,6.5,.537,.546,0.7,0.9,.784,0.3,2.5,2.8,4.1,0.7,0.1,1.2,1.3,12.6
387,Emmanuel Mudiay,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
388,Mychal Mulder,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
389,Ade Murkey,SG,24,SAC,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Trey Murphy III,SF,21,NOP,36,0,12.8,1.2,3.7,.328,0.9,2.7,.340,0.3,1.0,.297,.451,0.4,0.5,.824,0.7,1.4,2.1,0.6,0.3,0.1,0.3,0.9,3.8
